Open,High,Low,Close,Date,SRETURN
27023.71,27299.8,26750.01,27251.1,13-May-2015,0.013900857
27290.17,27293.99,26948.62,27206.06,14-May-2015,-0.001652777
27233.9,27379.57,27159.76,27324,15-May-2015,0.004335064
27416.97,27725.97,27370.28,27687.3,18-May-2015,0.013296004
27663.08,27872.23,27574.07,27645.53,19-May-2015,-0.001508634
27749.3,27903.01,27743.99,27837.21,20-May-2015,0.00693349
27885.36,27911.44,27712.73,27809.35,21-May-2015,-0.001000819
27849.54,28071.16,27828.61,27957.5,22-May-2015,0.005327345
27893.25,27903.29,27614.32,27643.88,25-May-2015,-0.011217741
27633.66,27675.94,27473.54,27531.41,26-May-2015,-0.004068532
